NITGcode,X,Y,Maaiveld [cm NAP],Bovenkant Filter [cm NAP],Onderkant Filter [cm NAP],Lengte dichte buis [m],Perceel  1,Perceel 2,Perceel 3,Perceel 4,Perceel 5,KRW_GWL,KRW_Meetpunt,Opmerking
B42B0066-1,39527,415288,400,-300,-500,7,1,1,1,1,1,,true,
B42B0066-3,39527,415288,400,-1910,-2110,23.1,1,1,0,0,0,,true,
B42B0154-1,37761,414316,549,341,241,2.08,1,0,0,0,1,,false,Hangt logger in
B42C0127-1,25950,400150,646,109,9,5.37,1,0,0,0,1,,false,Of in de raai naar het zuiden
B42D0057-1,35990,402025,140,-10,-110,1.5,1,0,0,0,1,,false,
B42D0282-1,38760,410427,280,-220,-320,5,1,0,0,0,1,,false,
B42D0473-1,30113,401513,500,-300,-500,8,1,1,1,1,1,,true,
B42D0473-3,30113,401513,500,-1810,-2010,23.1,1,0,0,0,0,,false,
B42D0486-2,30086,400491,114,-800,-1000,9.14,1,1,1,1,1,SC4,true,
B42E0009-1,40320,412860,519,0,-100,5.19,1,1,0,0,0,SC1,false,Droogval? Nee
B42E0009-2,40320,412860,519,-1000,-1100,15.19,1,1,1,1,1,SC1,true,
B42E0009-3,40320,412860,519,-3500,-3600,40.19,1,1,0,0,0,SC1,true,
B42E0043-1,42423,415051,-48,-620,-720,5.72,1,1,0,0,0,SC1,false,
B42E0043-2,42423,415051,-48,-1984,-2084,19.36,1,1,1,1,1,SC1,true,Meest handige KRW (SC1) locatie onder deklaag?
B42E0043-3,42423,415051,-48,-3178,-3278,31.3,1,1,0,0,0,SC1,true,
B42G0050-2,43283,400533,-15,-650,-750,6.35,1,1,1,1,1,SC4,false,
B42G0050-3,43283,400533,-15,-1250,-1350,12.35,1,1,1,1,1,SC4,true,
B42H0160-1,55375,410663,100,-700,-900,8,1,1,1,1,1,,true,
B42H0185-1,59541,408646,-62,-1362,-1462,13,1,0,0,0,0,SC4,false,
B43C0081-2,61348,407060,35,-1500,-1600,15.35,1,1,1,1,1,SC4,true,
B43C0284-1,67891,405534,77,-71,-171,1.48,1,1,1,1,1,SC4,false,
B43C0284-2,67891,405534,77,-1827,-1927,19.04,1,0,0,0,0,SC4,false,
B43C0333-2,60640,401670,83,-832,-1032,9.15,1,0,0,0,0,,false,
B43C0333-3,60640,401670,83,-1714,-1914,17.97,1,0,0,0,0,,false,
B47H0038-2,17570,376170,98,-989,-1189,10.87,1,0,0,0,0,SC4,false,
B48A0122-1,25138,389600,200,-280,-380,4.8,1,1,1,1,1,,true,
B48A0142-2,28290,397350,45,-1696,-1896,17.41,1,0,0,0,0,,false,
B48A0143-1,20276,395560,160,-39,-139,1.99,1,0,0,0,1,,false,
B48B0162-1,35440,390380,121,-167,-267,2.88,1,1,1,1,1,SC3,false,
B48B0162-2,35440,390380,121,-780,-980,9.01,1,1,1,1,1,SC3,true,
B48B0162-3,35440,390380,121,-1656,-1856,17.77,1,0,0,0,0,SC4,false,
B48C0156-1,22300,379910,1.75,-41,-141,2.16,1,0,0,0,1,,false,
B48C0196-1,23925,380100,-221,-11921,-18921,117,1,0,0,0,0,SC5,false,
B48E0073-1,41968,393749,68,-1370,-1470,14.38,1,1,1,1,1,SC4,true,
B48E0161-1,44700,387663,130,-700,-900,8.3,1,1,1,1,1,,true,
B48E0173-1,46350,392190,182,-1424,-1524,16.06,1,1,1,1,1,SC3,true,
B48E0195-1,48800,387760,-71,-1083,-1283,10.12,1,1,1,1,1,,true,
B48E0224-1,45886,390629,121,-12630,-13130,127.51,1,0,0,0,0,SC5,false,
B48F0136-1,54525,389212,40,-700,-900,7.4,1,1,1,1,1,,true,
B48F0173-1,52833,389175,84,-205,-305,2.89,1,1,0,0,0,,false,
B48G0204-1,45231,383089,114,-8978,-14778,90.92,1,0,0,0,0,SC5,false,
B48H0124-2,51052,386910,63,-772,-872,8.35,1,0,0,0,0,SC4,false,
B48H0256-2,50080,383420,109,-1809,-1909,19.18,1,1,1,1,1,SC4,true,
B48H0291-1,59625,375875,73,-9317,-14927,93.9,1,0,0,0,0,SC5,false,
B49A0232-2,67530,398690,-87,-984,-1184,8.97,1,1,1,1,1,,true,
B49B0555-1,72503,399486,-20,-176,-276,1.56,1,1,1,1,1,SC4,false,
B49B0555-2,72503,399486,-20,-1885,-1985,18.65,1,0,0,0,0,SC4,false,
B49B0556-1,74415,397431,61,-94,-194,1.55,1,1,1,1,1,SC4,false,
B49B0556-2,74415,397431,61,-1798,-1898,18.59,1,0,0,0,0,SC4,false,
B49D0060-1,75819,380642,176,100,0,0.76,1,1,1,1,1,SC4,false,
B49D0060-2,75819,380642,176,-1400,-1500,15.76,1,0,0,0,0,SC4,false,
B49D0060-3,75819,380642,176,-2750,-2850,29.26,1,0,0,0,0,SC4,false,
B49D0060-4,75819,380642,176,-4010,-4110,41.86,1,0,0,0,0,SC4,false,
B49D0060-5,75819,380642,176,-4680,-4780,48.56,1,0,0,0,0,SC4,false,
B49D0117-1,71295,381709,135,-107,-207,3.42,1,0,0,0,1,,false,Extra punt ivm PFAS
B54A0043-1,20400,370225,100,-600,-800,7,1,1,1,1,1,,true,
B54A0055-2,23420,368970,193,-517,-717,7.1,1,1,1,1,1,SC3,true,
B54A0055-3,23420,368970,193,-1618,-1818,18.11,1,0,0,0,0,SC3,false,
B54A0056-2,22972,363918,116,-878,-1078,9.94,1,1,1,1,1,SC3,true,
B54A0056-3,22972,363918,116,-1671,-1871,17.87,1,0,0,0,0,SC4,false,
B54A0058-1,22400,365420,126,-175,-275,3.01,1,1,1,1,1,SC3,false,
B54A0058-2,22400,365420,126,-630,-830,7.56,1,1,0,0,0,SC3,false,
B54A0058-3,22400,365420,126,-1596,-1796,17.22,1,0,0,0,0,SC3,false,
B54B0066-2,39211,367712,160,-1731,-1831,18.91,1,0,0,0,0,SC4,false,
B54B0067-1,33120,373860,295,-2,-102,2.97,1,1,1,1,1,SC3,false,
B54B0067-2,33120,373860,295,-716,-916,10.11,1,0,0,0,0,SC4,false,
B54E0231-2,43784,368546,211,-1589,-1689,18,1,0,0,0,0,SC3,false,
B54E0285-1,40800,368550,123,-11007,-17117,111.3,1,0,0,0,0,SC5,false,
B54F0045-2,57400,371870,-11,-1799,-1899,17.88,1,0,0,0,0,SC4,false,
B54F0054-1,54720,362570,120,-82,-182,2.02,1,1,1,1,1,SC2,false,
B54F0054-2,54720,362570,120,-965,-1065,10.85,1,0,0,0,0,SC2,false,
B54F0056-1,58970,365340,162,-726,-926,8.88,1,1,1,1,1,SC3,false,
B54F0061-3,53300,370200,93,-1179,-1379,12.72,1,1,1,1,1,SC4,true,
B54F0070-1,59844,362646,191,-429,-529,6.2,1,0,0,0,0,SC3,false,
B54F0093-1,54656,366133,144,-7544,-9894,76.88,1,0,0,0,0,SC5,false,
B54F0093-2,54656,366133,144,-14044,-14544,141.88,1,0,0,0,0,SC5,false,
B54H0010-2,50760,361110,181,-715,-915,8.96,1,1,1,1,1,SC3,true,
B54H0010-3,50760,361110,181,-1558,-1758,17.39,1,0,0,0,0,SC3,false,
B54H0011-2,53873,360886,133,-615,-815,7.48,1,1,1,1,1,SC2,true,
B55A0213-2,60775,362600,230,-440,-640,6.7,1,1,1,1,1,,true,
B55A0241-2,65500,371060,-20,-918,-1118,8.98,1,0,0,0,1,SC4,false,PFAS ook ivm M3
B55A0244-1,69990,369190,262,-630,-830,8.92,1,0,0,0,1,SC4,false,PFAS ook ivm M3
B55A0244-2,69990,369190,262,-1679,-1879,19.41,1,0,0,0,0,SC4,false,
B55A0245-2,64410,368700,90,-664,-764,7.54,1,1,1,1,1,SC3,true,
B55A0256-1,63014,363780,308,-820,-920,11.28,1,1,1,1,1,SC2,true,
B55A0296-1,61242,363125,220,-720,-820,9.4,1,1,1,1,1,SC2,true,
B55A0306-1,63617,364593,272,-322,-422,5.94,1,1,1,1,1,SC2,true,
B55A0340-1,63525,366300,116,-15259,-20599,153.75,1,0,0,0,0,SC5,false,
B55A0341-1,63530,366300,106,-7409,-10109,75.15,1,0,0,0,0,SC5,false,
B55A0364-1,66859,371130,158,-9842,-12842,100,1,0,0,0,0,SC5,false,
